FID,BTAWithin100m,BTAWithin100mWithAmenityData,BTAWithin100mWithNameData,BTAWithin100mWithReligionData,BTAWithin100mWithWebsiteData,BTAWithin225m,BTAWithin225mWithAmenityData,BTAWithin225mWithNameData,BTAWithin225mWithReligionData,BTAWithin225mWithWebsiteData,BTAWithin25m,BTAWithin25mWithAmenityData,BTAWithin25mWithNameData,BTAWithin400m,BTAWithin400mWithAmenityData,BTAWithin400mWithNameData,BTAWithin400mWithReligionData,BTAWithin400mWithWebsiteData,BTAWithin625m,BTAWithin625mWithAmenityData,BTAWithin625mWithNameData,BTAWithin625mWithReligionData,BTAWithin625mWithWebsiteData,BuildingsWithin100m,BuildingsWithin100mWithAmenityData,BuildingsWithin100mWithNameData,BuildingsWithin100mWithReligionData,BuildingsWithin100mWithWebsiteData,BuildingsWithin225m,BuildingsWithin225mWithAmenityData,BuildingsWithin225mWithNameData,BuildingsWithin225mWithReligionData,BuildingsWithin225mWithWebsiteData,BuildingsWithin25m,BuildingsWithin400m,BuildingsWithin400mWithAmenityData,BuildingsWithin400mWithNameData,BuildingsWithin400mWithReligionData,BuildingsWithin400mWithWebsiteData,BuildingsWithin625m,BuildingsWithin625mWithAmenityData,BuildingsWithin625mWithNameData,BuildingsWithin625mWithReligionData,BuildingsWithin625mWithWebsiteData,END_DAY_0,END_MONTH_0,END_TIME_0,END_TIME_1,START_DAY_1,START_TIME_0,START_TIME_1,VF_PLATSER_0,END_TIME_0_nan_mask,START_TIME_0_nan_mask,START_WEEKDAY_0_nan_mask,VEHICLE_0_nan_mask,VF_PLATS_TYP_0_nan_mask
30872243,45661.0,0.0,0.0,0.0,0.0,121278.0,0.0,849.0,0.0,0.0,0.0,0.0,0.0,207561.0,0.0,1176.0,0.0,0.0,398465.0,975.0,31778.0,0.0,975.0,11,0,0,0,0,35,0,1,0,0,0,67,0,2,0,0,131,1,11,0,1,30,4,900,0,1,1400,0,0,1,1,1,1,1
30872244,27630.0,0.0,0.0,0.0,0.0,142113.0,3180.0,18060.0,0.0,18060.0,0.0,0.0,0.0,379938.0,8784.0,26787.0,0.0,26436.0,1029119.0,12567.0,98957.0,3783.0,26436.0,3,0,0,0,0,15,1,1,0,1,0,43,2,3,0,2,115,4,9,2,2,0,0,900,0,0,1400,0,0,1,1,1,1,1
30872245,16086.0,0.0,0.0,0.0,0.0,80589.0,0.0,0.0,0.0,0.0,8028.0,0.0,0.0,200167.0,2454.0,13116.0,0.0,0.0,497435.0,4992.0,13116.0,0.0,0.0,8,0,0,0,0,68,0,0,0,0,2,148,2,1,0,0,385,3,1,0,0,31,10,0,800,1,0,1600,0,0,0,0,1,1
30872246,16086.0,0.0,0.0,0.0,0.0,80589.0,0.0,0.0,0.0,0.0,8028.0,0.0,0.0,200167.0,2454.0,13116.0,0.0,0.0,497435.0,4992.0,13116.0,0.0,0.0,8,0,0,0,0,68,0,0,0,0,2,148,2,1,0,0,385,3,1,0,0,15,5,800,0,16,1600,0,0,1,1,1,1,1
30872247,9135.0,0.0,0.0,0.0,0.0,51108.0,0.0,741.0,0.0,0.0,1461.0,0.0,0.0,475664.0,0.0,208657.0,0.0,8376.0,1062593.0,12567.0,298400.0,3783.0,26436.0,6,0,0,0,0,12,0,1,0,0,1,66,0,25,0,1,165,4,43,2,2,0,0,0,0,0,600,0,0,1,1,1,1,1
30872248,85986.0,0.0,17760.0,0.0,0.0,189541.0,0.0,17760.0,0.0,0.0,0.0,0.0,0.0,546511.0,3087.0,100320.0,3087.0,0.0,1165214.0,3783.0,206722.0,3783.0,0.0,4,0,1,0,0,21,0,1,0,0,0,76,1,9,1,0,174,2,38,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
30872249,67923.0,0.0,0.0,0.0,0.0,271871.0,3954.0,3954.0,3954.0,0.0,0.0,0.0,0.0,684438.0,3954.0,84397.0,3954.0,6556.0,1539190.0,55194.0,506622.0,3954.0,120352.0,4,0,0,0,0,21,1,1,1,0,0,89,1,15,1,1,140,2,25,1,2,0,0,0,0,0,600,0,0,1,1,1,1,1
30872250,34752.0,0.0,22353.0,0.0,0.0,318068.0,0.0,22353.0,0.0,0.0,0.0,0.0,0.0,1033337.0,3954.0,211421.0,3954.0,6556.0,1562613.0,5382.0,341690.0,3954.0,6556.0,3,0,2,0,0,26,0,2,0,0,0,74,1,14,1,1,171,2,24,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
30872251,121140.0,0.0,0.0,0.0,0.0,439440.0,615.0,615.0,0.0,0.0,0.0,0.0,0.0,992443.0,18991.0,61603.0,5628.0,12748.0,2208239.0,32728.0,203077.0,15498.0,70353.0,3,0,0,0,0,16,2,2,0,0,0,51,5,13,2,1,170,14,53,6,10,15,8,0,0,16,0,600,8,0,0,0,1,1
30872252,121140.0,0.0,0.0,0.0,0.0,439440.0,615.0,615.0,0.0,0.0,0.0,0.0,0.0,992443.0,18991.0,61603.0,5628.0,12748.0,2208239.0,32728.0,203077.0,15498.0,70353.0,3,0,0,0,0,16,2,2,0,0,0,51,5,13,2,1,170,14,53,6,10,14,6,0,0,15,600,0,8,1,1,1,1,1
