FID,BuildingsWithin25m,BTAWithin25m,BuildingsWithin25mWithamenityData,BTAWithin25mWithamenityData,BuildingsWithin25mWithnameData,BTAWithin25mWithnameData,BuildingsWithin25mWithwebsiteData,BTAWithin25mWithwebsiteData,BuildingsWithin25mWithreligionData,BTAWithin25mWithreligionData,BuildingsWithin100m,BTAWithin100m,BuildingsWithin100mWithamenityData,BTAWithin100mWithamenityData,BuildingsWithin100mWithnameData,BTAWithin100mWithnameData,BuildingsWithin100mWithwebsiteData,BTAWithin100mWithwebsiteData,BuildingsWithin100mWithreligionData,BTAWithin100mWithreligionData,BuildingsWithin225m,BTAWithin225m,BuildingsWithin225mWithamenityData,BTAWithin225mWithamenityData,BuildingsWithin225mWithnameData,BTAWithin225mWithnameData,BuildingsWithin225mWithwebsiteData,BTAWithin225mWithwebsiteData,BuildingsWithin225mWithreligionData,BTAWithin225mWithreligionData,BuildingsWithin400m,BTAWithin400m,BuildingsWithin400mWithamenityData,BTAWithin400mWithamenityData,BuildingsWithin400mWithnameData,BTAWithin400mWithnameData,BuildingsWithin400mWithwebsiteData,BTAWithin400mWithwebsiteData,BuildingsWithin400mWithreligionData,BTAWithin400mWithreligionData,BuildingsWithin625m,BTAWithin625m,BuildingsWithin625mWithamenityData,BTAWithin625mWithamenityData,BuildingsWithin625mWithnameData,BTAWithin625mWithnameData,BuildingsWithin625mWithwebsiteData,BTAWithin625mWithwebsiteData,BuildingsWithin625mWithreligionData,BTAWithin625mWithreligionData
30878495,0,0,0,0,0,0,0,0,0,0,7,137509,0,0,0,0,0,0,0,0,34,651135,2,1749,4,20363,1,12716,1,1503,83,1391203,3,6807,8,46671,2,12751,2,6561,152,2384348,8,23896,24,90745,5,30194,4,8751
30878496,1,7893,0,0,0,0,0,0,0,0,4,62850,0,0,0,0,0,0,0,0,19,274525,1,1365,4,18320,0,0,1,1365,60,874736,3,5035,10,52871,0,0,2,3035,129,2261661,3,5035,25,345214,2,8816,2,3035
30878499,0,0,0,0,0,0,0,0,0,0,12,19694,0,0,1,2504,1,2504,0,0,40,129304,0,0,4,47767,3,43960,0,0,92,579927,0,0,14,132711,12,98778,0,0,130,1064622,0,0,17,168123,12,98778,0,0
30878500,0,0,0,0,0,0,0,0,0,0,4,83047,0,0,0,0,0,0,0,0,30,248731,0,0,0,0,0,0,0,0,91,940230,1,2457,3,3041,1,2457,1,2457,185,1779387,5,16411,15,112489,1,2457,4,14503
30878503,1,356,0,0,0,0,0,0,0,0,8,89962,1,3732,3,71914,1,11655,1,3732,30,452876,1,3732,10,198415,4,85801,1,3732,69,1377288,1,3732,24,639426,7,301894,1,3732,120,2111319,3,73038,48,847218,12,416966,1,3732
30878504,1,993,0,0,0,0,0,0,0,0,11,19203,0,0,0,0,0,0,0,0,38,184892,0,0,3,9539,1,2504,0,0,89,623509,1,5816,11,93675,6,57578,0,0,123,1092096,3,9203,18,143067,8,63648,2,3387
30878505,0,0,0,0,0,0,0,0,0,0,6,40596,0,0,0,0,0,0,0,0,26,528213,2,11352,2,11352,0,0,2,11352,95,1476322,7,25650,7,26697,1,7440,4,18135,159,2217493,10,37536,19,58591,1,7440,7,30021
30878508,1,2763,0,0,0,0,0,0,0,0,15,21366,0,0,0,0,0,0,0,0,93,106538,0,0,0,0,0,0,0,0,233,305937,2,5988,3,7887,1,1899,2,5988,348,509231,2,5988,5,17841,1,1899,2,5988
30877275,0,0,0,0,0,0,0,0,0,0,7,15837,0,0,0,0,0,0,0,0,44,86451,0,0,0,0,0,0,0,0,169,219414,2,4842,1,13116,0,0,0,0,296,324469,3,7650,2,15924,0,0,0,0
30877286,2,4290,0,0,0,0,0,0,0,0,7,11910,0,0,0,0,0,0,0,0,59,65004,0,0,0,0,0,0,0,0,262,164004,1,1608,2,1851,0,0,1,1608,341,198183,2,4284,3,4527,0,0,1,1608
30877287,0,0,0,0,0,0,0,0,0,0,3,83844,0,0,1,30,0,0,0,0,18,461806,0,0,2,1641,0,0,0,0,51,1066021,1,570,14,63692,1,16083,1,570,117,2187428,5,6471,22,110613,2,19767,2,4254
30877485,0,0,0,0,0,0,0,0,0,0,16,13044,0,0,0,0,0,0,0,0,90,64221,2,10806,2,10806,1,7812,0,0,315,161714,4,33729,4,33729,1,7812,0,0,525,324206,4,33729,6,34583,1,7812,0,0
30877486,0,0,0,0,0,0,0,0,0,0,5,6672,1,138,1,138,0,0,0,0,29,36663,1,138,2,867,0,0,0,0,113,165267,5,18537,5,4503,1,3243,0,0,188,274012,7,20577,7,31605,1,3243,1,1902
30877487,1,138,1,138,1,138,0,0,0,0,5,6672,1,138,1,138,0,0,0,0,31,37716,1,138,2,867,0,0,0,0,116,166584,5,18537,5,4503,1,3243,0,0,200,277101,7,20577,7,31605,1,3243,1,1902
30876912,0,0,0,0,0,0,0,0,0,0,3,14217,0,0,0,0,0,0,0,0,23,165028,1,27928,1,27928,1,27928,0,0,107,570607,5,35650,4,53191,2,42082,0,0,189,758965,6,35788,6,68884,2,42082,0,0
30876913,0,0,0,0,0,0,0,0,0,0,2,7713,0,0,0,0,0,0,0,0,23,172093,2,28408,2,28408,1,27928,0,0,102,546106,5,35650,4,53191,2,42082,0,0,200,755924,6,35788,5,53329,2,42082,0,0
30876920,3,1164,0,0,0,0,0,0,0,0,35,9369,0,0,0,0,0,0,0,0,179,53658,0,0,1,369,0,0,0,0,544,159570,0,0,1,369,0,0,0,0,854,352677,1,150,1,369,0,0,0,0
30877091,0,0,0,0,0,0,0,0,0,0,3,77520,0,0,1,11988,0,0,0,0,20,439167,0,0,3,24438,0,0,0,0,76,1482934,6,32173,17,297010,3,27138,3,7265,151,2468345,7,35905,33,591889,7,207887,4,10997
30877289,0,0,0,0,0,0,0,0,0,0,7,20157,0,0,0,0,0,0,0,0,35,104817,0,0,2,7317,0,0,0,0,78,205952,0,0,9,45585,0,0,0,0,125,317652,0,0,11,48064,0,0,0,0
30877290,0,0,0,0,0,0,0,0,0,0,11,43740,0,0,0,0,0,0,0,0,24,87945,0,0,1,11520,0,0,0,0,67,182619,0,0,7,35238,0,0,0,0,120,337448,0,0,11,60309,0,0,0,0
30877291,0,0,0,0,0,0,0,0,0,0,7,35727,0,0,0,0,0,0,0,0,29,99201,0,0,1,6858,0,0,0,0,75,203756,0,0,9,45585,0,0,0,0,122,314283,0,0,11,48064,0,0,0,0
30877296,1,972,0,0,0,0,0,0,0,0,15,10278,0,0,1,114,0,0,0,0,77,47607,0,0,1,114,0,0,0,0,263,151131,0,0,1,114,0,0,0,0,583,304436,1,1371,1,114,0,0,0,0
30877500,3,633,0,0,0,0,0,0,0,0,11,38085,1,4080,1,4080,0,0,1,4080,44,157311,1,4080,1,4080,0,0,1,4080,141,521198,2,5562,5,6317,0,0,2,5562,230,841331,4,13295,13,39148,0,0,3,6049
30877501,1,1917,0,0,0,0,0,0,0,0,10,15237,0,0,0,0,0,0,0,0,40,136707,1,4080,1,4080,0,0,1,4080,146,423881,1,4080,5,4923,0,0,1,4080,235,710640,5,19113,15,53355,0,0,3,6049
30877502,0,0,0,0,0,0,0,0,0,0,15,40698,0,0,0,0,0,0,0,0,42,185972,1,4080,1,4080,0,0,1,4080,131,575323,1,4080,4,4835,0,0,1,4080,223,895906,3,6049,11,15471,0,0,3,6049
30877509,2,915,0,0,0,0,0,0,0,0,28,10101,0,0,0,0,0,0,0,0,122,57129,0,0,0,0,0,0,0,0,347,161331,0,0,0,0,0,0,0,0,648,327090,1,150,1,369,0,0,0,0
30876923,1,2190,0,0,0,0,0,0,0,0,12,18764,0,0,0,0,0,0,0,0,38,103502,0,0,6,26721,0,0,0,0,98,234912,0,0,10,36544,0,0,0,0,130,310254,0,0,11,48064,0,0,0,0
